,ts,lstm,gru,bp,elm,svm,rw,arima,rf,mlp,dt,lstm,gru,bp,elm,svm,rw,arima,rf,mlp,dt,lstm,gru,bp,elm,svm,rw,arima,rf,mlp,dt
1618,28.84,29.64085576,29.57758928,30.1941225,29.69864975,29.61944534,30.88005278,29.68634782,31.49789285,29.8375215,31.5849942,30.99380137,30.93136977,30.90351713,31.27674564,31.23792182,30.61037146,30.95177822,30.73899184,29.16257919,29.19787402,30.94384929,31.19477286,31.2737654,30.12379807,30.74300507,30.6,31.26390634,30.94321887,31.18186304,26.3306933
1619,29.6,29.80966933,29.7132335,29.53802872,29.88702764,29.57373016,30.05485663,29.91746937,30.64549978,29.79561292,31.68820348,28.94506375,29.03696219,28.96410243,30.61907708,28.52149722,28.7515349,28.69286424,29.24602405,28.7289887,27.64004782,29.86352048,29.60676081,29.44860158,30.50411343,29.159548,28.84,29.17618328,30.21989081,30.55702779,24.9977324
1620,30.6,29.96737232,29.93265375,29.50685936,30.0682766,29.93962712,29.86357467,30.03236634,29.93181802,30.23681253,30.17780601,29.37450533,29.39993877,29.22635375,29.06664709,29.22261954,29.61650206,29.10234885,29.61920921,30.8922226,28.50357812,29.70711645,29.71079369,29.48926481,31.0767124,28.99562188,29.6,29.28354346,29.68639169,29.49377099,24.9977324
1621,30.12,29.8345104,29.85265368,29.81880165,29.93156395,29.93628673,29.82612988,29.90289711,29.56194536,30.07093392,30.17780601,29.63587692,29.59956261,29.43011006,29.71246556,29.78755474,30.68151629,29.19047891,29.61023599,30.97659533,28.44830644,30.303756,30.2063983,30.14420941,31.7621088,29.54716073,30.6,30.32418922,29.70846421,31.49645025,26.3306933
1622,29.5,29.68023771,29.69253931,30.04008659,29.78245978,29.75499338,29.81999438,29.80874935,29.86308478,29.73388575,30.3517386,30.39263739,30.41041118,30.31787423,30.20064664,30.66581408,30.15392661,30.25968631,30.34832596,30.77971114,28.31920764,29.93972615,30.10325956,30.0857967,30.26676456,29.21994613,30.12,30.172456,29.68469005,30.47609845,26.3306933
1623,29.46,29.63582606,29.61015343,29.948312,29.75851787,29.60594218,29.86271445,29.80536806,29.89284704,29.71709398,30.29259216,30.41155846,30.60907088,30.45376801,30.42503025,30.62155441,29.40062502,30.2433753,30.24363684,30.41607099,28.54816972,29.7509096,29.75145942,29.67114038,30.06324877,29.03698592,29.5,29.9724988,29.41894171,30.02733367,24.9977324
1624,30.2,29.58434441,29.54579939,29.71750918,29.70554762,29.5109219,29.82128948,29.71678739,29.8154065,29.66636012,30.23906531,29.81095134,29.96327136,29.8299846,29.84123931,30.05939346,29.49727078,29.80097934,30.09362995,29.80277287,28.49094154,29.59018815,29.63770828,29.50040313,29.87474368,28.8153735,29.46,29.80371741,29.51924116,29.66234835,24.9977324
1625,28.85,29.45423026,29.43299704,29.5571023,29.56355576,29.40913364,29.63682353,29.55910459,29.7584773,29.56000411,30.29259216,30.4941775,30.57587909,30.45921711,30.2856333,30.6793562,30.23608482,30.40848662,30.23925325,30.53350927,28.72693111,29.91863657,30.03007616,29.97850082,30.03347987,29.13688855,30.2,30.30530629,29.57224531,30.35443605,26.3306933
1626,29.64,29.29219731,29.27477358,29.41915636,29.39304905,29.24721147,29.50350205,29.40716557,29.61212271,29.38913195,30.29259216,29.25665431,29.40574382,29.34280118,29.42457287,29.7131689,28.93356391,29.25544289,29.25934961,29.23506426,27.64004782,29.05537513,29.25278749,29.06921573,29.26940047,28.33437355,28.85,29.03878887,28.9739874,29.34210873,24.9977324
1627,29.76,29.47485124,29.41891034,29.40159936,29.61448568,29.32108742,29.56255103,29.66704704,29.49821391,29.59574294,30.23906531,30.37837398,30.45610327,30.38049403,30.55364611,30.63158674,29.62858768,30.44544796,30.39050005,30.21011557,28.78708002,29.56923724,29.59054911,29.52012124,29.66855251,28.71254747,29.64,29.75000435,29.03573067,29.82943479,24.9977324
1628,29.84,29.60562868,29.59891132,29.68681814,29.73379822,29.5782103,29.4744878,29.74356928,29.59928458,29.72547372,30.29259216,29.54918854,29.642415,29.54994859,29.37834943,29.82562434,29.74655301,29.59527493,29.60157695,29.34966172,28.29577094,29.61003027,29.75286183,29.68431543,29.76506364,28.80727805,29.76,29.97546082,29.25545819,29.86546825,24.9977324
1629,29.9,29.62711195,29.6050098,29.79556185,29.76413658,29.57092534,29.72614496,29.73536267,29.65468331,29.73580859,30.3517386,30.08454,30.03068943,30.05212375,29.89359798,30.23310913,29.78122331,30.16837309,29.82538457,29.86545969,28.82707579,29.66037106,29.79578191,29.75110471,29.83071783,28.83450273,29.84,30.12685381,29.24224595,30.02047387,24.9977324
1630,29.09,29.48292659,29.44166495,29.57074139,29.6143491,29.36417096,29.84176369,29.67802731,29.51506521,29.59846079,30.17780601,29.82243924,29.82150726,29.79911219,29.74786633,30.00389669,29.97845087,29.85120749,29.63546695,29.76920616,28.70656494,29.89347952,29.92270556,29.891254,30.14395179,29.05755218,29.9,30.18528078,29.05299045,30.02360919,24.9977324
1631,30,30.07281086,30.02798686,30.05296498,30.20590443,29.9335715,29.65067762,30.23411694,29.83367259,30.18617624,30.3517386,29.5290934,29.47923118,29.50650676,29.6943448,29.7942435,29.0518576,29.5687403,29.48727817,29.60354721,28.40343344,29.30216859,29.42708255,29.25230616,29.45754285,28.47396446,29.09,29.39372785,28.81285267,29.36346123,24.9977324
1632,30.99,30.64155835,30.58068621,30.5058346,30.78735774,30.46408063,30.32732126,30.79203849,30.20477485,30.77334598,30.3517386,29.84725678,29.74554722,29.76766763,29.88628413,29.9925735,29.93474067,29.75306181,29.81452967,29.8406188,28.53093732,29.81318243,29.87579827,29.81712797,29.9610293,28.90807511,30,30.10690737,28.97485253,30.14767522,24.9977324
1633,30.5,30.53058641,30.50342445,30.54615625,30.6768677,30.44686564,30.73563794,30.67459494,30.1840149,30.67879425,30.09007308,30.33854018,30.12440939,30.2077261,30.17382439,30.22321904,31.01568244,30.3740157,29.83052384,30.12575764,28.58816549,30.47895275,30.61832323,30.68767167,30.50859763,29.62187273,30.99,31.05443568,29.35787418,30.66767867,26.3306933
1634,32.34,30.95682794,30.93553797,31.15843556,31.11391467,30.901363,30.57673312,31.12391934,30.79382942,31.12103165,31.5849942,30.49407918,30.3607893,30.38508776,30.38563543,30.56425681,30.34786802,30.27064214,30.01506896,30.27868819,28.64270532,30.34821328,30.50073509,30.50062102,30.72555843,29.52927162,30.5,30.81430761,29.90592619,30.79103415,28.53176988
1635,30.17,30.73024783,30.68994461,30.97810834,30.88277074,30.63472815,31.08043505,30.88256697,31.08105851,30.89465091,31.5849942,31.21571413,31.01996599,31.12002724,31.1009921,31.10921364,32.47930121,31.29762351,30.75597675,30.39742604,28.81910466,31.7819974,31.78647913,31.97115825,31.99962854,30.9327911,32.34,32.40466287,30.15282253,31.80259851,29.49566062
